date,type,client_id,product_id,quantity,total_amount
2024-01-01,Receipt,,107,1,24.99
2024-01-01,Receipt,,109,8,280.0
2024-01-01,Receipt,,107,9,224.91
2024-01-01,Receipt,,109,1,35.0
2024-01-01,Receipt,,112,6,27.0
2024-01-02,Receipt,,112,5,22.5
2024-01-02,Receipt,,104,19,760.0
2024-01-02,Receipt,,111,11,82.5
2024-01-02,Receipt,,107,7,174.93
2024-01-02,Invoice,85822412.0,101,12,102.0
2024-01-02,Receipt,,110,6,119.94
2024-01-02,Receipt,,109,11,385.0
2024-01-02,Invoice,6323852.0,104,14,560.0
2024-01-02,Receipt,,107,20,499.8
2024-01-02,Receipt,,109,15,525.0
2024-01-02,Invoice,27888820.0,108,18,261.0
2024-01-03,Invoice,42436584.0,104,16,640.0
2024-01-03,Receipt,,103,3,28.5
2024-01-03,Receipt,,104,9,360.0
2024-01-03,Receipt,,109,15,525.0
2024-01-05,Receipt,,109,15,525.0
2024-01-05,Receipt,,101,19,161.5
2024-01-05,Receipt,,111,9,67.5
2024-01-05,Receipt,,103,6,57.0
2024-01-05,Invoice,9335534.0,104,10,400.0
2024-01-05,Receipt,,109,17,595.0
2024-01-06,Invoice,88725654.0,101,7,59.5
2024-01-06,Receipt,,105,5,399.95
2024-01-06,Invoice,10752378.0,106,1,55.0
2024-01-06,Receipt,,105,16,1279.84
2024-01-06,Receipt,,111,18,135.0
2024-01-06,Receipt,,107,1,24.99
2024-01-06,Receipt,,105,17,1359.83
2024-01-06,Receipt,,111,17,127.5
2024-01-06,Invoice,53826716.0,112,19,85.5
2024-01-07,Receipt,,101,7,59.5
2024-01-07,Invoice,72148284.0,107,19,474.81
2024-01-07,Invoice,81415657.0,106,4,220.0
2024-01-07,Invoice,56581473.0,103,17,161.5
2024-01-07,Receipt,,108,17,246.5
2024-01-07,Invoice,26054020.0,102,16,13.6
2024-01-07,Receipt,,107,7,174.93
2024-01-07,Receipt,,109,14,490.0
2024-01-07,Receipt,,109,7,245.0
2024-01-07,Receipt,,112,3,13.5
2024-01-08,Invoice,78270025.0,104,6,240.0
2024-01-08,Receipt,,106,20,1100.0
2024-01-08,Receipt,,109,14,490.0
2024-01-08,Receipt,,108,20,290.0
2024-01-08,Receipt,,104,12,480.0
2024-01-08,Invoice,72148284.0,105,8,639.92
2024-01-08,Invoice,88725654.0,103,11,104.5
2024-01-08,Receipt,,101,18,153.0
2024-01-08,Receipt,,102,4,3.4
2024-01-09,Receipt,,112,14,63.0
2024-01-09,Receipt,,110,12,239.88
2024-01-09,Receipt,,103,7,66.5
2024-01-09,Receipt,,103,9,85.5
2024-01-09,Receipt,,110,4,79.96
2024-01-09,Invoice,74252420.0,108,8,116.0
2024-01-09,Invoice,35495029.0,112,20,90.0
2024-01-10,Receipt,,103,12,114.0
2024-01-10,Receipt,,110,6,119.94
2024-01-10,Receipt,,102,15,12.75
2024-01-10,Receipt,,106,8,440.0
2024-01-11,Receipt,,106,13,715.0
2024-01-11,Receipt,,111,3,22.5
2024-01-11,Receipt,,112,12,54.0
2024-01-11,Receipt,,107,2,49.98
2024-01-11,Invoice,73932360.0,108,11,159.5
2024-01-11,Invoice,64119726.0,107,19,474.81
2024-01-11,Invoice,72148284.0,107,14,349.86
2024-01-11,Invoice,10752378.0,104,14,560.0
2024-01-11,Receipt,,112,16,72.0
2024-01-12,Receipt,,106,5,275.0
2024-01-12,Invoice,6323852.0,108,7,101.5
2024-01-12,Receipt,,101,14,119.0
2024-01-12,Invoice,79212676.0,107,19,474.81
2024-01-12,Invoice,85758349.0,107,12,299.88
2024-01-12,Receipt,,105,8,639.92
2024-01-12,Invoice,99159520.0,111,18,135.0
